,#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League
0,1,CSKA Moscow,35,40.3,87.5,30.0,60.2,0.498,8.7,21.6,0.403,18.8,22.9,0.821,7.8,22.3,30.1,19.9,7.1,3.2,14.1,22.6,2016,EL
1,2,Real Madrid,36,40.0,85.3,30.8,63.4,0.485,9.7,26.1,0.373,14.0,18.2,0.768,9.4,23.6,33.0,20.2,6.7,2.9,11.9,21.1,2016,EL
2,3,Anadolu Efes,35,40.6,82.0,30.0,67.3,0.445,7.6,22.5,0.337,14.4,19.7,0.734,10.6,21.6,32.2,17.9,6.9,3.4,11.3,19.4,2016,EL
3,4,Baskonia,33,40.0,82.0,30.0,64.0,0.468,8.2,23.1,0.354,13.8,18.2,0.763,9.3,23.5,32.8,18.4,6.7,3.0,13.2,21.6,2016,EL
4,5,AX Armani Exchange Milan,30,40.2,80.7,29.5,63.0,0.469,7.1,20.2,0.35,14.7,19.5,0.753,9.4,20.4,29.8,17.4,7.0,1.5,14.0,22.0,2016,EL
5,6,Brose Baskets Bamberg,30,40.3,79.9,29.4,59.8,0.491,9.3,23.2,0.402,11.8,15.0,0.783,6.2,22.8,29.0,18.2,5.5,2.7,12.4,21.9,2016,EL
6,7,Darussafaka Basketbol Istanbul,34,40.1,79.1,27.9,63.2,0.442,8.9,24.3,0.368,14.3,19.5,0.733,9.6,21.6,31.1,14.0,6.1,2.5,10.9,20.3,2016,EL
7,8,Zalgiris,30,40.0,78.3,28.2,59.5,0.473,8.3,21.2,0.389,13.7,17.3,0.794,9.4,20.5,29.9,19.1,4.9,1.8,13.3,23.3,2016,EL
8,9,Galatasaray,30,40.0,78.2,29.5,62.6,0.471,9.2,22.7,0.405,10.0,13.9,0.724,7.8,21.3,29.1,19.5,6.2,3.9,11.9,18.8,2016,EL
9,10,Maccabi FOX Tel Aviv,30,40.2,78.0,29.0,60.9,0.476,8.1,20.7,0.392,11.9,16.4,0.726,7.2,23.4,30.6,17.6,5.4,1.8,14.0,20.2,2016,EL
10,11,Olympiacos,37,40.1,77.4,27.5,61.9,0.445,8.2,23.8,0.347,14.1,19.0,0.739,9.9,23.5,33.5,15.2,6.1,3.3,12.4,20.1,2016,EL
11,12,UNICS Kazan,30,40.2,76.6,27.5,60.3,0.457,7.2,19.6,0.367,14.3,18.0,0.795,9.3,20.7,30.0,15.7,5.4,2.7,12.6,19.2,2016,EL
12,13,Fenerbahce Ulker,35,40.3,76.6,27.3,57.9,0.472,8.8,22.1,0.4,13.1,17.3,0.76,7.3,22.2,29.5,17.5,6.5,3.5,12.3,19.6,2016,EL
13,14,Panathinaikos,33,40.8,76.4,27.5,62.2,0.442,9.3,26.2,0.354,12.1,17.1,0.71,8.4,21.5,30.0,15.1,7.4,3.0,11.0,19.9,2016,EL
14,15,KK Crvena Zvezda,30,40.2,73.6,27.1,61.1,0.444,6.8,20.5,0.331,12.6,16.8,0.75,7.6,20.2,27.9,16.3,9.0,1.6,11.8,20.2,2016,EL
15,16,Barca,30,40.2,71.4,25.6,58.0,0.441,9.0,23.9,0.378,11.2,15.2,0.737,8.2,22.7,30.8,17.2,7.1,2.0,14.4,18.4,2016,EL
16,1,CSKA Moscow,36,40.1,88.7,31.5,62.6,0.503,9.1,21.8,0.417,16.7,20.5,0.813,8.9,21.0,29.9,17.6,7.5,3.0,11.4,22.5,2017,EL
17,2,Real Madrid,36,40.1,85.8,29.7,61.9,0.48,9.6,25.5,0.378,16.9,21.8,0.773,9.3,23.3,32.6,19.3,6.8,3.2,11.2,20.4,2017,EL
18,3,Baskonia,34,40.0,82.9,30.5,61.2,0.498,9.5,23.6,0.401,12.5,16.5,0.756,7.7,21.6,29.3,19.6,5.9,2.9,12.2,20.5,2017,EL
19,4,Barca,30,40.0,81.9,30.6,63.1,0.485,9.3,24.2,0.382,11.4,15.4,0.74,8.5,23.2,31.7,20.5,6.1,2.2,11.9,21.3,2017,EL
20,5,AX Armani Exchange Milan,30,40.7,81.7,28.5,61.3,0.465,8.6,23.5,0.367,16.0,20.5,0.781,7.9,20.6,28.5,16.1,5.2,2.5,10.3,21.4,2017,EL
21,6,Fenerbahce Ulker,36,40.6,81.4,28.9,58.2,0.498,8.6,20.5,0.419,14.9,18.8,0.793,8.5,20.1,28.6,19.2,6.4,2.8,11.4,21.2,2017,EL
22,7,Zalgiris,36,40.6,81.3,29.2,57.6,0.508,6.9,16.5,0.421,15.9,20.6,0.772,8.1,22.0,30.1,19.2,5.7,1.9,13.1,23.6,2017,EL
23,8,Maccabi FOX Tel Aviv,30,40.0,81.3,30.7,65.4,0.469,6.7,18.7,0.356,13.3,18.9,0.707,9.4,22.7,32.2,17.5,6.6,3.6,10.9,19.4,2017,EL
24,9,Unicaja,30,40.5,79.6,28.9,63.9,0.452,8.3,23.6,0.35,13.6,18.1,0.748,11.0,20.2,31.2,18.1,6.4,2.1,11.5,18.0,2017,EL
25,10,Panathinaikos,34,40.4,79.4,28.8,61.9,0.466,9.0,25.3,0.356,12.9,19.0,0.678,8.3,21.1,29.4,16.4,7.2,2.4,11.2,23.3,2017,EL
26,11,Khimki,34,40.0,78.9,27.9,61.4,0.454,9.9,27.5,0.362,13.3,17.7,0.751,8.6,20.8,29.4,18.0,7.1,3.2,11.9,22.6,2017,EL
27,12,Valencia Basket,30,40.3,78.7,27.3,59.0,0.462,9.8,24.6,0.398,14.3,17.2,0.828,7.8,20.6,28.4,17.3,5.1,2.1,11.1,18.8,2017,EL
28,13,KK Crvena Zvezda,30,40.0,77.8,27.7,63.6,0.435,8.4,24.6,0.341,14.0,18.6,0.75,10.5,19.1,29.5,15.8,6.8,2.4,10.5,23.2,2017,EL
29,14,Olympiacos,34,40.9,77.7,26.4,59.3,0.446,7.7,22.9,0.335,17.2,22.9,0.753,9.1,23.2,32.3,16.1,5.3,1.9,12.4,21.2,2017,EL
30,15,Anadolu Efes,30,40.0,77.4,28.5,63.6,0.448,7.1,20.7,0.342,13.3,17.4,0.764,9.4,20.1,29.5,15.4,5.9,3.0,10.8,19.0,2017,EL
31,16,Brose Baskets Bamberg,30,40.0,77.0,26.8,58.2,0.46,8.2,21.5,0.384,15.2,19.0,0.799,7.0,21.5,28.6,16.1,4.8,1.6,11.7,21.8,2017,EL
32,1,AX Armani Exchange Milan,30,40.2,87.3,29.8,63.4,0.471,10.0,25.9,0.387,17.6,21.8,0.805,9.4,21.7,31.0,15.9,6.4,2.2,11.0,20.0,2018,EL
33,2,CSKA Moscow,36,40.1,86.9,30.1,61.9,0.487,8.8,21.6,0.407,17.8,21.9,0.812,9.9,21.4,31.3,17.2,6.1,2.2,11.5,22.8,2018,EL
34,3,Real Madrid,35,40.0,85.8,30.5,62.9,0.486,10.3,27.2,0.379,14.5,18.7,0.775,8.3,24.9,33.1,20.1,5.9,3.2,11.4,19.3,2018,EL
35,4,Anadolu Efes,37,40.0,84.8,31.2,61.5,0.507,10.4,25.6,0.406,12.0,14.6,0.821,6.9,22.3,29.2,19.2,6.2,2.9,11.1,18.1,2018,EL
36,5,Fenerbahce Ulker,36,40.4,83.3,29.9,57.4,0.522,9.7,22.7,0.428,13.7,17.0,0.807,6.6,19.9,26.5,18.1,6.8,2.4,10.9,20.5,2018,EL
37,6,Baskonia,34,40.1,81.2,29.3,62.1,0.472,8.5,23.6,0.36,14.1,18.8,0.752,9.5,22.8,32.3,18.2,6.6,2.4,12.6,20.4,2018,EL
38,7,Maccabi FOX Tel Aviv,30,40.0,79.2,29.7,64.9,0.457,8.7,25.8,0.336,11.2,15.8,0.709,9.9,22.7,32.6,15.8,6.5,2.7,11.4,21.3,2018,EL
39,8,Bayern Munich,30,40.3,79.1,28.8,59.2,0.487,8.4,22.1,0.38,13.0,16.8,0.772,6.7,19.6,26.3,17.6,6.6,1.7,11.4,19.5,2018,EL
40,9,Panathinaikos,33,40.1,79.0,30.2,64.0,0.472,6.4,19.6,0.325,12.2,17.5,0.7,8.8,21.0,29.8,16.8,6.9,2.8,11.1,21.5,2018,EL
41,10,Khimki,30,40.2,78.2,27.8,61.4,0.453,10.0,28.7,0.35,12.5,16.2,0.768,8.0,18.4,26.5,18.3,7.6,3.0,11.4,22.5,2018,EL
42,11,Zalgiris,34,40.4,78.1,27.4,56.1,0.488,6.3,16.6,0.381,17.0,21.1,0.806,7.0,21.9,29.0,17.4,5.6,1.6,13.0,21.7,2018,EL
43,12,Barca,35,40.1,78.1,28.5,60.8,0.469,7.9,21.6,0.367,13.2,17.9,0.738,9.1,22.2,31.3,17.1,6.4,2.4,12.3,20.1,2018,EL
44,13,Olympiacos,30,40.2,77.9,28.3,60.2,0.47,7.5,21.2,0.353,13.8,18.6,0.743,9.2,23.2,32.4,17.6,5.4,2.1,12.4,17.9,2018,EL
45,14,Gran Canaria,30,40.2,77.7,28.1,63.3,0.443,8.8,25.9,0.341,12.8,17.5,0.731,8.7,18.8,27.5,17.3,6.7,2.0,13.0,21.3,2018,EL
46,15,Darussafaka Basketbol Istanbul,30,40.0,74.6,27.7,62.3,0.444,6.7,21.1,0.315,12.6,16.9,0.747,9.7,20.6,30.3,16.6,5.9,3.5,13.2,21.4,2018,EL
