,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,League
0,Philadelphia 76ers*,49,23,0.681,—,113.6,108.1,5.28,2016,NBA
1,Brooklyn Nets*,48,24,0.667,1.0,118.6,114.1,4.24,2016,NBA
2,Milwaukee Bucks*,46,26,0.639,3.0,120.1,114.2,5.57,2016,NBA
3,New York Knicks*,41,31,0.569,8.0,107.0,104.7,2.13,2016,NBA
4,Atlanta Hawks*,41,31,0.569,8.0,113.7,111.4,2.14,2016,NBA
5,Miami Heat*,40,32,0.556,9.0,108.1,108.0,-0.06,2016,NBA
6,Boston Celtics*,36,36,0.5,13.0,112.6,111.2,1.32,2016,NBA
7,Washington Wizards*,34,38,0.472,15.0,116.6,118.5,-1.85,2016,NBA
8,Indiana Pacers,34,38,0.472,15.0,115.3,115.3,-0.13,2016,NBA
9,Charlotte Hornets,33,39,0.458,16.0,109.5,111.4,-1.94,2016,NBA
10,Chicago Bulls,31,41,0.431,18.0,110.7,111.6,-0.94,2016,NBA
11,Toronto Raptors,27,45,0.375,22.0,111.3,111.7,-0.54,2016,NBA
12,Cleveland Cavaliers,22,50,0.306,27.0,103.8,112.3,-8.19,2016,NBA
13,Orlando Magic,21,51,0.292,28.0,104.0,113.3,-9.02,2016,NBA
14,Detroit Pistons,20,52,0.278,29.0,106.6,111.1,-4.38,2016,NBA
15,Utah Jazz*,52,20,0.722,—,116.4,107.2,8.97,2016,NBA
16,Phoenix Suns*,51,21,0.708,1.0,115.3,109.5,5.67,2016,NBA
17,Denver Nuggets*,47,25,0.653,5.0,115.1,110.1,4.82,2016,NBA
18,Los Angeles Clippers*,47,25,0.653,5.0,114.0,107.8,6.02,2016,NBA
19,Dallas Mavericks*,42,30,0.583,10.0,112.4,110.2,2.26,2016,NBA
20,Portland Trail Blazers*,42,30,0.583,10.0,116.1,114.3,1.81,2016,NBA
21,Los Angeles Lakers*,42,30,0.583,10.0,109.5,106.8,2.77,2016,NBA
22,Golden State Warriors,39,33,0.542,13.0,113.7,112.7,1.1,2016,NBA
23,Memphis Grizzlies*,38,34,0.528,14.0,113.3,112.3,1.07,2016,NBA
24,San Antonio Spurs,33,39,0.458,19.0,111.1,112.8,-1.58,2016,NBA
25,New Orleans Pelicans,31,41,0.431,21.0,114.6,114.9,-0.2,2016,NBA
26,Sacramento Kings,31,41,0.431,21.0,113.7,117.4,-3.45,2016,NBA
27,Minnesota Timberwolves,23,49,0.319,29.0,112.1,117.7,-5.25,2016,NBA
28,Oklahoma City Thunder,22,50,0.306,30.0,105.0,115.6,-10.13,2016,NBA
29,Houston Rockets,17,55,0.236,35.0,108.8,116.7,-7.5,2016,NBA
30,Philadelphia 76ers*,49,23,0.681,—,113.6,108.1,5.28,2017,NBA
31,Brooklyn Nets*,48,24,0.667,1.0,118.6,114.1,4.24,2017,NBA
32,Milwaukee Bucks*,46,26,0.639,3.0,120.1,114.2,5.57,2017,NBA
33,New York Knicks*,41,31,0.569,8.0,107.0,104.7,2.13,2017,NBA
34,Atlanta Hawks*,41,31,0.569,8.0,113.7,111.4,2.14,2017,NBA
35,Miami Heat*,40,32,0.556,9.0,108.1,108.0,-0.06,2017,NBA
