,Player,Height,Weight,Nationality,Continent,Pos,Age,Team,GP,MP,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,eFG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,League
0,Álex Abrines,198,91,Spain,Europe,SG,23,Oklahoma City Thunder,68,15.5,5.2,12.9,0.393,3.6,9.3,0.381,1.5,3.6,0.426,0.543,1.5,1.8,0.898,0.8,2.6,3.4,1.5,1.3,0.3,1.3,4.4,15.5,2016,NBA
1,Quincy Acy,201,109,USA,Americas,PF,26,Brooklyn Nets,38,14.7,4.9,12.2,0.412,2.7,6.5,0.411,2.4,5.7,0.413,0.512,3.3,4.4,0.75,1.4,6.8,8.2,1.4,1.1,1.1,1.6,4.9,15.8,2016,NBA
2,Steven Adams,211,120,New Zealand,Oceania,C,23,Oklahoma City Thunder,80,29.9,6.3,11.0,0.571,0.0,0.0,0.0,6.3,11.0,0.572,0.573,2.7,4.3,0.611,4.7,5.6,10.3,1.5,1.5,1.3,2.4,3.2,15.1,2016,NBA
3,Arron Afflalo,196,95,USA,Americas,SG,31,Sacramento Kings,61,25.9,4.6,10.7,0.44,1.5,3.9,0.411,3.1,6.8,0.457,0.5,2.2,2.3,0.892,0.2,2.9,3.1,2.0,0.5,0.2,1.1,2.6,13.0,2016,NBA
4,Alexis Ajinça,218,112,France,Europe,C,28,New Orleans Pelicans,39,15.0,6.1,12.3,0.5,0.0,0.3,0.0,6.1,12.0,0.511,0.496,1.9,2.7,0.725,3.2,9.1,12.0,0.8,1.3,1.6,2.1,5.3,14.1,2016,NBA
5,LaMarcus Aldridge,211,113,USA,Americas,PF,31,San Antonio Spurs,72,32.4,8.5,18.0,0.477,0.4,1.0,0.411,8.1,17.0,0.48,0.483,3.8,4.7,0.812,3.0,6.0,9.0,2.3,0.7,1.5,1.7,2.7,21.4,2016,NBA
6,Lavoy Allen,206,118,USA,Americas,PF,27,Indiana Pacers,61,14.3,3.6,7.8,0.458,0.0,0.0,0.0,3.6,7.6,0.461,0.462,1.1,1.4,0.697,4.8,5.3,10.1,2.5,0.8,1.1,1.4,3.6,8.1,2016,NBA
7,Tony Allen,193,96,USA,Americas,SG,35,Memphis Grizzlies,71,27.0,5.8,12.4,0.461,0.3,1.2,0.278,5.3,11.3,0.479,0.48,1.6,2.7,0.615,3.4,4.7,8.1,2.1,2.4,0.6,2.1,3.7,13.5,2016,NBA
8,Al-Farouq Aminu,203,100,USA,Americas,PF,26,Portland Trail Blazers,61,29.1,4.1,10.4,0.393,1.5,4.8,0.33,2.6,5.8,0.445,0.466,2.2,3.0,0.706,1.8,8.4,10.2,2.2,1.4,1.0,2.1,2.3,12.0,2016,NBA
9,Alan Anderson,198,100,USA,Americas,SF,34,Los Angeles Clippers,30,10.3,3.9,10.5,0.375,1.9,5.8,0.318,1.9,4.7,0.444,0.462,1.6,1.9,0.75,0.4,2.7,3.1,1.6,0.4,0.0,0.8,4.7,11.3,2016,NBA
10,Justin Anderson,198,104,USA,Americas,SF,23,Dallas Mavericks,75,16.4,6.1,14.4,0.424,2.0,6.3,0.299,4.1,8.0,0.522,0.493,3.4,4.1,0.791,2.2,5.6,8.0,2.2,1.2,0.7,2.2,3.7,17.3,2016,NBA
11,Kyle Anderson,206,104,USA,Americas,SF,23,San Antonio Spurs,72,14.2,3.7,8.2,0.445,0.6,1.7,0.375,3.1,6.5,0.462,0.488,1.7,2.3,0.789,1.4,6.8,8.2,3.7,2.0,1.1,1.4,2.5,9.6,2016,NBA
12,Ryan Anderson,206,109,USA,Americas,PF,28,Houston Rockets,72,29.4,6.1,14.6,0.418,3.8,9.5,0.403,2.3,5.0,0.446,0.548,2.4,2.9,0.86,2.2,4.1,6.3,1.2,0.5,0.3,1.1,2.7,18.5,2016,NBA
13,Giannis Antetokounmpo,211,110,Greece,Europe,SF,22,Milwaukee Bucks,80,35.6,9.2,17.6,0.521,0.7,2.6,0.272,8.5,15.2,0.563,0.543,6.6,8.7,0.77,2.0,7.9,9.9,6.1,1.8,2.1,3.3,3.5,25.7,2016,NBA
14,Carmelo Anthony,201,108,USA,Americas,SF,32,New York Knicks,74,34.3,9.4,21.9,0.433,2.3,6.6,0.359,7.1,15.3,0.466,0.482,4.8,5.7,0.833,0.9,5.9,6.9,3.4,0.9,0.6,2.4,3.1,26.1,2016,NBA
15,Trevor Ariza,203,97,USA,Americas,SF,31,Houston Rockets,80,34.7,4.7,11.5,0.409,2.8,8.0,0.344,2.0,3.5,0.556,0.53,1.4,1.8,0.738,0.8,5.9,6.6,2.5,2.1,0.3,1.0,2.0,13.5,2016,NBA
16,Darrell Arthur,206,106,USA,Americas,PF,28,Denver Nuggets,41,15.6,5.9,13.3,0.442,3.3,7.4,0.453,2.6,6.2,0.429,0.568,1.3,1.3,0.864,1.5,5.4,6.9,2.6,1.3,1.3,2.3,4.9,16.4,2016,NBA
17,Ömer Aşık,213,116,Turkey,Asia,C,30,New Orleans Pelicans,31,15.5,2.6,5.4,0.477,0.0,0.0,0.0,2.6,5.4,0.477,0.481,1.8,3.4,0.59,3.9,9.5,13.7,1.3,0.5,0.8,1.3,4.1,7.0,2016,NBA
18,D.J. Augustin,180,83,USA,Americas,PG,29,Orlando Magic,78,19.7,5.1,13.4,0.377,2.4,7.1,0.347,2.6,6.3,0.412,0.47,3.5,4.3,0.814,0.4,2.6,3.0,5.5,0.8,0.0,2.4,2.6,16.0,2016,NBA
19,Luke Babbitt,206,102,USA,Americas,SF,27,Miami Heat,68,15.7,4.3,10.4,0.402,3.3,7.9,0.414,1.0,2.5,0.366,0.572,0.5,0.5,0.733,0.5,4.8,5.4,1.3,0.8,0.5,1.0,4.3,12.2,2016,NBA
20,Ron Baker,193,100,USA,Americas,SG,23,New York Knicks,52,16.5,3.9,10.2,0.378,1.0,4.1,0.267,2.7,6.1,0.45,0.431,1.2,1.9,0.651,0.5,4.1,4.6,5.1,1.7,0.5,2.7,3.4,9.9,2016,NBA
21,Wade Baldwin,193,91,USA,Americas,PG,20,Memphis Grizzlies,33,12.3,3.6,11.4,0.313,0.3,2.3,0.136,3.3,9.1,0.355,0.329,2.9,3.6,0.838,1.0,3.6,4.6,5.9,1.6,0.7,3.9,3.9,10.4,2016,NBA
22,Leandro Barbosa,190,88,Brazil,Americas,SG,34,Phoenix Suns,67,14.4,7.2,16.4,0.439,1.4,4.2,0.357,5.6,12.2,0.466,0.482,1.7,1.9,0.889,0.6,3.6,4.4,3.3,1.4,0.3,1.9,3.3,17.5,2016,NBA
23,J.J. Barea,178,82,Puerto Rico,Americas,PG,32,Dallas Mavericks,35,22.0,7.5,17.8,0.414,2.7,7.6,0.358,4.5,10.2,0.456,0.497,2.4,2.7,0.863,0.5,3.8,4.4,10.0,0.7,0.0,3.3,1.6,19.8,2016,NBA
24,Harrison Barnes,203,102,USA,Americas,PF,24,Dallas Mavericks,79,35.5,8.6,18.3,0.468,1.1,3.2,0.351,7.4,15.1,0.492,0.5,3.5,4.1,0.861,1.4,4.3,5.6,1.7,0.9,0.2,1.5,1.8,21.6,2016,NBA
25,Matt Barnes,201,102,USA,Americas,SF,36,Sacramento Kings,74,24.0,4.2,10.7,0.391,2.0,6.0,0.331,2.2,4.7,0.467,0.486,1.5,2.0,0.787,1.5,7.0,8.7,4.3,1.0,0.7,2.3,4.2,11.8,2016,NBA
