,Team,GP,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,League,W/L%
0,Golden State Warriors,82,35.9,72.6,0.495,10.0,26.0,0.383,25.9,46.5,0.557,14.8,18.8,0.788,7.8,29.2,37.0,25.3,8.0,5.7,12.3,16.1,96.6,2016,NBA,0.542
1,Houston Rockets,82,33.6,72.7,0.462,12.0,33.6,0.357,21.6,39.1,0.552,16.9,22.1,0.766,9.1,27.9,37.0,21.0,6.8,3.6,12.6,16.6,96.1,2016,NBA,0.236
2,Denver Nuggets,82,34.3,73.1,0.469,8.8,24.0,0.368,25.5,49.1,0.519,15.6,20.2,0.774,9.8,28.8,38.7,21.1,5.8,3.2,12.5,15.9,93.1,2016,NBA,0.653
3,Cleveland Cavaliers,82,33.2,70.8,0.47,10.8,28.2,0.384,22.4,42.5,0.528,14.6,19.4,0.748,7.8,28.7,36.4,18.9,5.5,3.3,11.4,15.1,91.9,2016,NBA,0.306
4,Washington Wizards,82,34.4,72.5,0.475,7.7,20.7,0.372,26.8,51.9,0.515,14.4,18.4,0.784,8.6,27.2,35.8,19.9,7.1,3.4,11.8,17.8,91.0,2016,NBA,0.472
5,Los Angeles Clippers,82,32.9,69.3,0.475,8.6,22.8,0.375,24.4,46.5,0.525,16.1,21.7,0.745,7.5,28.3,35.8,18.8,6.2,3.5,10.8,16.5,90.6,2016,NBA,0.653
6,Boston Celtics,82,32.2,70.9,0.454,10.0,27.8,0.359,22.2,43.1,0.515,15.6,19.3,0.807,7.6,27.4,35.0,21.0,6.2,3.4,11.1,17.2,90.0,2016,NBA,0.5
7,Portland Trail Blazers,82,32.9,71.8,0.459,8.7,23.1,0.375,24.3,48.7,0.499,15.4,19.8,0.78,8.4,27.9,36.4,17.6,5.8,4.2,11.4,17.7,89.9,2016,NBA,0.583
8,Phoenix Suns,82,33.2,73.8,0.45,6.2,18.8,0.332,27.0,54.9,0.491,17.0,21.9,0.776,9.9,27.6,37.5,16.3,6.8,4.1,12.8,20.7,89.8,2016,NBA,0.708
9,Toronto Raptors,82,32.7,70.3,0.464,7.3,20.2,0.363,25.2,50.0,0.505,16.4,20.6,0.796,8.8,27.2,36.1,15.4,6.9,4.1,10.6,17.3,89.1,2016,NBA,0.375
10,Oklahoma City Thunder,82,32.9,72.8,0.452,7.0,21.5,0.327,25.8,51.3,0.504,16.0,21.5,0.745,10.2,28.7,38.8,17.5,6.6,4.2,12.5,17.4,88.8,2016,NBA,0.306
11,Brooklyn Nets,82,31.5,71.0,0.444,8.9,26.3,0.338,22.6,44.7,0.506,16.2,20.5,0.788,7.3,29.3,36.6,17.8,6.0,3.9,13.8,17.5,88.2,2016,NBA,0.667
12,Minnesota Timberwolves,82,32.9,70.3,0.467,6.1,17.5,0.349,26.8,52.8,0.507,16.1,20.2,0.799,9.5,25.8,35.3,19.8,6.7,3.8,11.7,16.8,88.0,2016,NBA,0.319
13,San Antonio Spurs,82,32.8,69.8,0.469,7.7,19.6,0.391,25.1,50.2,0.5,14.7,18.3,0.797,8.3,28.2,36.6,19.8,6.7,4.9,11.2,15.3,87.8,2016,NBA,0.458
14,Indiana Pacers,82,32.8,70.4,0.465,7.2,19.2,0.376,25.5,51.2,0.498,14.9,18.4,0.81,7.5,27.5,35.0,18.8,6.8,4.2,11.5,16.2,87.6,2016,NBA,0.472
15,Charlotte Hornets,82,31.4,71.2,0.442,8.3,23.8,0.351,23.1,47.3,0.488,16.2,19.8,0.815,7.3,29.0,36.3,19.3,5.8,4.0,9.6,13.8,87.4,2016,NBA,0.458
16,Los Angeles Lakers,82,32.8,72.8,0.45,7.4,21.4,0.346,25.3,51.3,0.493,14.2,18.8,0.754,9.5,26.8,36.2,17.4,6.8,3.2,12.7,17.2,87.2,2016,NBA,0.583
17,New Orleans Pelicans,82,32.6,72.5,0.45,7.8,22.3,0.35,24.8,50.2,0.495,13.9,18.6,0.75,7.2,29.3,36.4,19.0,6.5,4.6,10.8,15.2,86.9,2016,NBA,0.431
18,New York Knicks,82,33.0,73.8,0.447,7.2,20.6,0.348,25.8,53.2,0.485,13.8,17.6,0.788,10.0,27.7,37.7,18.2,5.9,4.6,11.6,16.9,86.9,2016,NBA,0.569
19,Milwaukee Bucks,82,32.3,68.3,0.474,7.3,19.8,0.37,25.0,48.5,0.516,14.3,18.7,0.768,7.3,26.3,33.7,20.2,6.8,4.4,11.7,16.8,86.3,2016,NBA,0.639
20,Atlanta Hawks,82,31.8,70.3,0.451,7.4,21.8,0.341,24.3,48.6,0.501,15.1,20.8,0.728,8.6,28.4,36.9,19.7,6.8,4.0,13.2,15.2,86.0,2016,NBA,0.569
21,Miami Heat,82,32.5,71.5,0.455,8.2,22.5,0.365,24.3,49.0,0.496,12.7,18.0,0.706,8.8,27.5,36.3,17.7,6.0,4.8,11.2,17.1,86.0,2016,NBA,0.556
22,Chicago Bulls,82,32.2,72.6,0.444,6.3,18.6,0.34,25.8,54.0,0.479,15.0,18.8,0.798,10.2,28.4,38.6,18.8,6.5,4.0,11.3,14.8,85.8,2016,NBA,0.431
23,Sacramento Kings,82,31.6,68.4,0.461,7.5,19.9,0.376,24.1,48.5,0.496,15.1,19.4,0.775,7.2,26.9,34.2,18.8,6.3,3.3,12.2,16.9,85.7,2016,NBA,0.431
